0,0,1,4,4,6,6,6,6,7,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,11,13,15,17,22,26,27,27,28,30,32,32,34,37,39,41,46,46,52,53,55,57,61,63,64,68,72,79,83,87,94,99,107,113,119,124,131,139,144,148,153,160,167,172,185,197,216,237,253,271,284,305,317,340,360,385,415,448,480,493,510,523,536,552,568,576,586,596,610,626,645,653,665,681,695,717,734,754,773,788,802,821,843,866,898,925,954,977,1007,1037,1058,1081,1108,1129,1159,1184,1215,1242,1284,1319,1347,1391,1431,1474,1518,1564,1607,1662,1710,1762,1820,1869,1934,1991,2051,2140,2222,2316,2414,2529,2653,2781,2939,3100,3270,3449,3622,3787,3992,4199,4401,4608,4771,4962,5145,5328,5527,5688,5814,5935,6065,6196,6334,6495,6673,6861,7075,7304,7499,7733,8021,8391,8736,9074,9464,9826,10192,10516,10947,11356,11760,12170,12549,12865,13162,13386,13635,13879,14130,14426,14625,14770,14882,14936,14990,15039,15075,15105,15136,15147,15159,15170,15187,15195,15200,15209,15218,15227,15238,15244,15249,15253,15255,15261,15262,15270,15273,15275,15277,15279,15281,15281,15284,15290,15290,15293,15293,15294,15294,15295,15296,15296,15296,15296,15297,15297,15297,15297,15297,15297,15298,15298,15299,15299,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
41,169,243,299,361,409,459,515,564,614,658,704,756,803,846,894,927,968,1016,1053,1109,1160,1216,1256,1307,1354,1413,1451,1508,1569,1634,1697,1764,1845,1912,1971,2056,2142,2204,2277,2346,2417,2487,2557,2637,2703,2772,2833,2919,3002,3085,3170,3254,3372,3487,3602,3720,3850,3970,4141,4319,4464,4651,4833,5038,5222,5415,5605,5818,6067,6332,6674,6971,7247,7513,7783,8082,8419,8707,8949,9222,9427,9676,9943,10133,10296,10487,10642,10830,11018,11227,11469,11732,11958,12163,12380,12591,12812,13165,13405,13624,13796,13949,14098,14232,14320,14405,14478,14539,14592,14641,14683,14716,14743,14769,14801,14827,14863,14899,14919,14941,14963,14983,15008,15029,15043,15059,15075,15085,15096,15117,15132,15142,15153,15163,15172,15179,15193,15206,15217,15221,15231,15238,15244,15244,15250,15251,15256,15262,15264,15269,15272,15273,15276,15278,15279,15280,15283,15286,15286,15289,15290,15291,15294,15295,15296,15298,15298,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
0,1,1,2,2,2,2,3,3,3,4,4,6,7,8,8,9,10,10,10,10,10,10,10,10,11,11,12,13,13,14,14,14,15,16,17,17,20,20,22,22,22,22,23,23,24,25,25,25,27,27,28,30,30,32,33,35,39,40,41,42,45,45,45,48,48,52,52,53,59,61,64,65,67,70,75,78,82,83,85,90,92,98,106,110,114,117,122,129,134,138,141,153,164,173,178,183,190,201,215,228,241,256,266,279,291,308,322,342,356,375,384,400,409,420,430,444,464,477,489,512,536,556,591,608,625,655,684,701,725,756,789,815,855,897,932,973,1030,1077,1129,1178,1246,1321,1419,1513,1625,1765,1919,2100,2265,2481,2698,2914,3180,3438,3775,4083,4396,4703,4970,5228,5474,5688,5881,6088,6300,6470,6671,6866,7066,7312,7578,7968,8276,8588,8980,9308,9654,10026,10422,10727,10998,11279,11591,11868,12068,12197,12305,12376,12481,12597,12718,12895,13140,14620,14774,14864,14918,14973,15019,15055,15075,15105,15124,15143,15158,15166,15178,15196,15203,15211,15222,15229,15237,15246,15251,15256,15264,15270,15275,15278,15280,15284,15284,15287,15289,15292,15292,15293,15295,15295,15295,15295,15295,15295,15296,15296,15298,15298,15298,15298,15299,15299,15299,15299,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
39,79,96,98,111,120,133,141,148,150,153,160,163,168,173,178,185,196,204,210,227,250,267,309,339,362,408,444,492,534,591,651,723,805,888,1003,1119,1261,1386,1507,1584,1667,1741,1819,1909,2000,2107,2208,2338,2464,2618,2792,2978,3155,3352,3529,3710,3867,4029,4182,4358,4531,4723,4921,5139,5378,5628,5963,6493,7240,7641,8051,8432,8812,9134,9420,9707,10049,10358,10790,11275,11812,12458,13210,13754,14054,14270,14464,14636,14737,14827,14895,14939,14990,15024,15046,15071,15094,15115,15130,15148,15164,15182,15195,15203,15215,15226,15230,15235,15244,15246,15250,15254,15256,15259,15263,15267,15272,15276,15280,15282,15283,15284,15285,15286,15287,15287,15287,15289,15289,15293,15293,15293,15293,15293,15294,15294,15294,15296,15296,15296,15297,15297,15298,15298,15298,15298,15298,15298,15298,15298,15298,15299,15299,15299,15299,15299,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
0,1,1,2,3,3,4,5,5,5,5,5,5,5,7,7,8,8,9,10,10,10,10,10,11,12,13,13,14,15,17,19,19,19,19,20,21,21,24,25,25,25,25,25,27,29,31,31,33,37,39,42,42,45,47,48,50,53,55,57,61,64,67,68,72,80,86,92,106,114,121,129,137,139,153,160,170,179,191,199,203,208,220,227,231,233,238,241,244,247,252,256,260,262,264,267,270,275,279,283,287,292,299,306,316,323,327,336,343,349,353,360,365,374,381,387,394,408,420,430,436,448,460,475,488,499,507,519,531,549,562,573,593,610,632,663,691,725,772,821,883,927,998,1083,1211,1315,1442,1584,1757,1922,2111,2301,2464,2639,2849,3075,3333,3564,3759,3964,4188,4416,4626,4834,5052,5275,5524,5749,6011,6228,6480,6724,6893,7116,7353,7634,8003,8429,8738,8959,9147,9296,9481,9702,9931,10145,10402,10627,10802,11015,11219,11405,11654,11969,15018,15108,15152,15170,15179,15189,15197,15205,15211,15214,15219,15226,15232,15239,15247,15256,15261,15263,15266,15269,15275,15278,15282,15286,15288,15290,15291,15293,15294,15294,15296,15297,15298,15298,15298,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
9,60,82,96,118,138,158,175,199,225,241,260,278,301,329,344,373,392,415,440,461,488,513,551,578,601,636,670,701,728,764,796,828,864,899,929,970,1015,1063,1100,1139,1178,1230,1292,1375,1487,1565,1637,1736,1847,1961,2057,2144,2227,2315,2390,2460,2537,2604,2679,2736,2793,2855,2917,2968,3029,3087,3159,3222,3295,3377,3491,3634,3835,4097,4408,4849,5424,6086,6837,7523,8037,8494,8984,9432,9876,10338,10733,11120,11506,11809,12144,12478,12810,13147,13383,13585,13810,13989,14123,14257,14358,14460,14536,14605,14677,14737,14790,14831,14876,14915,14946,14969,14998,15031,15043,15072,15088,15106,15120,15137,15151,15158,15166,15178,15188,15198,15206,15214,15219,15229,15237,15240,15241,15243,15245,15250,15253,15255,15258,15261,15263,15265,15266,15266,15267,15268,15268,15271,15271,15272,15272,15272,15275,15279,15280,15282,15284,15287,15287,15290,15290,15290,15291,15292,15294,15295,15297,15297,15298,15299,15299,15299,15299,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
0,1,1,2,2,4,4,5,5,5,6,6,6,6,6,6,6,9,9,10,10,10,10,11,11,11,12,13,13,13,15,17,17,19,22,23,24,26,27,27,29,30,32,34,35,37,39,41,45,52,60,70,76,82,86,88,92,104,109,116,123,133,136,142,161,168,169,173,177,181,183,185,190,191,192,196,197,199,205,210,220,225,231,234,240,241,245,250,259,272,278,285,293,303,310,318,334,343,356,377,386,408,426,442,457,475,489,507,520,539,556,586,611,638,654,682,709,740,767,791,819,850,880,905,937,966,1006,1036,1074,1113,1150,1178,1201,1230,1271,1318,1363,1399,1443,1492,1549,1620,1706,1823,1947,2067,2200,2370,2584,2796,3017,3218,3389,3598,3857,4092,4322,4539,4742,4917,5074,5235,5372,5507,5658,5789,5900,6027,6139,6256,6363,6488,6617,6742,6882,7076,7438,7907,8215,8534,8749,8945,9125,9448,9734,9996,10187,10337,10484,10617,10819,11038,11316,11566,15075,15146,15169,15180,15185,15192,15203,15207,15212,15218,15223,15236,15243,15248,15255,15260,15267,15269,15275,15282,15285,15285,15285,15287,15291,15292,15293,15294,15294,15294,15294,15295,15295,15295,15295,15296,15297,15298,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
144,302,418,511,596,682,739,803,866,929,981,1034,1086,1138,1190,1242,1286,1337,1382,1431,1484,1542,1595,1631,1661,1698,1732,1778,1817,1857,1898,1937,1981,2014,2048,2093,2128,2175,2230,2292,2354,2427,2506,2605,2729,2902,3086,3295,3521,3755,3975,4181,4368,4512,4678,4833,4969,5102,5227,5363,5483,5657,5906,6106,6261,6394,6539,6663,6767,6879,6993,7112,7247,7370,7512,7669,7837,8010,8183,8360,8551,8736,8909,9083,9274,9447,9640,9852,10062,10317,10575,10836,11043,11261,11477,11736,12042,12335,12622,12885,13092,13289,13469,13622,13748,13843,13933,14014,14091,14153,14227,14306,14386,14445,14507,14561,14630,14675,14714,14754,14790,14819,14844,14878,14910,14935,14949,14970,14992,15009,15022,15041,15051,15068,15081,15090,15103,15112,15122,15134,15144,15151,15162,15169,15175,15182,15189,15192,15199,15205,15210,15213,15218,15223,15228,15232,15239,15245,15247,15249,15252,15254,15257,15262,15262,15268,15269,15273,15276,15277,15278,15278,15281,15282,15283,15284,15284,15287,15288,15292,15292,15293,15296,15296,15298,15298,15298,15298,15298,15298,15298,15299,15299,15299,15299,15299,15299,15299,15299,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
0,0,0,0,1,2,3,3,4,5,6,7,7,8,9,9,9,9,10,10,12,12,12,13,13,15,15,16,16,16,17,20,21,22,22,22,25,25,28,28,30,30,30,32,33,37,39,44,50,55,61,63,69,77,78,87,99,109,119,129,135,140,149,154,162,165,168,173,177,181,183,185,187,189,192,200,203,212,215,227,236,241,250,272,281,290,305,323,341,354,375,387,413,430,461,493,515,537,562,595,624,651,683,712,743,766,790,819,848,883,915,946,986,1025,1064,1095,1138,1171,1200,1225,1250,1277,1309,1352,1394,1429,1461,1499,1531,1568,1599,1641,1675,1710,1764,1818,1874,1927,1979,2051,2126,2196,2301,2386,2489,2646,2780,2944,3123,3326,3510,3672,3863,4073,4280,4486,4683,4876,5058,5229,5418,5589,5779,5956,6137,6357,6605,6924,7285,7698,8168,8459,8696,8898,9069,9236,9397,9616,9796,9943,10068,10201,10329,10464,10593,10721,10841,10937,11012,11128,11273,11400,11555,11778,14609,14783,14858,14897,14936,14971,14993,15032,15056,15076,15095,15120,15147,15163,15173,15184,15194,15204,15218,15229,15235,15242,15247,15254,15259,15264,15271,15278,15281,15284,15286,15287,15287,15290,15291,15291,15293,15294,15295,15296,15296,15296,15296,15297,15297,15297,15298,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
11,80,114,139,174,198,233,261,287,307,335,371,415,449,479,511,552,600,632,695,755,818,873,937,993,1072,1136,1223,1300,1395,1483,1579,1665,1755,1846,1928,2005,2073,2152,2219,2299,2367,2456,2541,2616,2701,2797,2906,2997,3115,3202,3314,3446,3571,3714,3873,4041,4204,4389,4563,4746,4905,5104,5306,5537,5810,6142,6501,6926,7389,7780,8288,8722,9114,9467,9789,10186,10525,10858,11139,11399,11660,11927,12210,12535,13046,13364,13588,13797,13944,14107,14227,14322,14385,14462,14530,14578,14623,14667,14716,14763,14799,14831,14860,14895,14927,14961,14987,15004,15022,15043,15062,15075,15087,15098,15110,15120,15132,15138,15146,15154,15163,15172,15181,15189,15199,15211,15215,15221,15230,15235,15239,15245,15252,15260,15264,15270,15273,15275,15277,15279,15282,15284,15286,15290,15291,15293,15293,15294,15295,15295,15295,15296,15296,15296,15297,15298,15298,15298,15299,15299,15299,15299,15299,15299,15299,15299,15299,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300,15300/1,0,0,0,0
