2.47,7.495,30.921,762.374,31.29,60/1,0,0,0
5.65,9.24,61.383,762.939,32.58,60/1,0,0,0
55.74,95.28,366.34,865.406,52.05,60/1,0,0,0
15.61,25.816,171.821,794.741,38.83,60/1,0,0,0
14.37,27.631,224.394,837.263,42.61,60/1,0,0,0
93.99,59.77,362.267,951.022,54,60/0,1,0,0
1660.19,680.545,868.996,967.298,104.8,60/0,1,0,0
16.26,24.294,363.127,965.055,52.89,60/0,1,0,0
272.35,139.004,502.317,955.144,63.43,60/0,1,0,0
12.25,10.242,239.112,939.518,46.49,60/0,0,1,0
12.47,65.078,653.425,952.63,65.33,60/0,0,1,0
25.63,63.382,593.117,972.55,63.73,60/0,0,1,0
20.64,88.166,710.081,956.724,68.63,60/0,0,1,0
17.31,30.524,549.451,972.105,60.7,60/0,0,1,0
13.66,16.187,452.719,861.497,52.02,60/0,0,1,0
18.34,22.294,657.141,945.922,63.56,60/0,0,1,0
17.39,23.467,748.425,967.281,68,60/0,0,1,0
13.13,17.806,512.51,881.223,55.19,60/0,0,1,0
13.95,17.202,657.717,972.054,64.39,60/0,0,1,0
669.01,385.768,728.237,943.914,83,60/0,0,0,1
127.99,214.604,677.166,948.278,72.38,60/0,0,0,1
383.93,334.454,765.667,955.366,81.79,60/0,0,0,1
176.2,185.644,574.552,930.941,66.75,60/0,0,0,1
