291,7823,31305,762388/1,0,0,0
608,9727,62112,762970/1,0,0,0
5554,95085,366200,865406/1,0,0,0
1501,25228,171057,794727/1,0,0,0
1437,27631,224394,837263/1,0,0,0
172724,563870,829864,966327/0,1,0,0
13994,75499,393750,946125/0,1,0,0
4889,265072,737142,959396/0,1,0,0
7119,169370,679601,962179/0,1,0,0
4081,194966,750548,963366/0,1,0,0
2827,43211,448007,966961/0,0,1,0
1784,36889,565419,943449/0,0,1,0
1421,10777,315079,833946/0,0,1,0
1533,32053,361881,948243/0,0,1,0
1526,10765,691716,966962/0,0,1,0
1732,10699,642799,947884/0,0,1,0
1530,10638,659974,952995/0,0,1,0
1611,11042,656177,962950/0,0,1,0
202,7583,667483,951290/0,0,1,0
21714,268141,653549,938120/0,0,0,1
6620,196837,673777,934093/0,0,0,1
13059,175167,577457,932090/0,0,0,1
9306,191151,590220,929826/0,0,0,1
29399,320046,803885,959413/0,0,0,1
