2.47,7.495,30.921,762.374,31.29,60/1,0,0,0
5.65,9.24,61.383,762.939,32.58,60/1,0,0,0
55.74,95.28,366.34,865.406,52.05,60/1,0,0,0
15.61,25.816,171.821,794.741,38.83,60/1,0,0,0
14.37,27.631,224.394,837.263,42.61,60/1,0,0,0
93.99,59.77,362.267,951.022,54,60/0,1,0,0
1660.19,680.545,868.996,967.298,104.8,60/0,1,0,0
16.26,24.294,363.127,965.055,52.89,60/0,1,0,0
272.35,139.004,502.317,955.144,63.43,60/0,1,0,0
12.25,10.242,239.112,939.518,46.49,60/0,0,1,0
12.47,65.078,653.425,952.63,65.33,60/0,0,1,0
25.63,63.382,593.117,972.55,63.73,60/0,0,1,0
20.64,88.166,710.081,956.724,68.63,60/0,0,1,0
17.31,30.524,549.451,972.105,60.7,60/0,0,1,0
13.66,16.187,452.719,861.497,52.02,60/0,0,1,0
18.34,22.294,657.141,945.922,63.56,60/0,0,1,0
17.39,23.467,748.425,967.281,68,60/0,0,1,0
13.13,17.806,512.51,881.223,55.19,60/0,0,1,0
13.95,17.202,657.717,972.054,64.39,60/0,0,1,0
669.01,385.768,728.237,943.914,83,60/0,0,0,1
127.99,214.604,677.166,948.278,72.38,60/0,0,0,1
383.93,334.454,765.667,955.366,81.79,60/0,0,0,1
176.2,185.644,574.552,930.941,66.75,60/0,0,0,1
15.8,32.136,236.567,825.584,42.81,60/1,0,0,0
8.79,23.661,177.033,827.005,40.18,60/1,0,0,0
15.71,25.114,182.941,818.068,40.14,60/1,0,0,0
14.35,17.889,206.346,825.194,41.05,60/1,0,0,0
34.89,126.531,426.597,886.673,56.38,60/1,0,0,0
10.72,9.34,44.409,757.221,31.72,60/1,0,0,0
10.68,9.3,45.031,759.875,31.85,60/1,0,0,0
27.44,73.113,321.854,857.021,49.01,60/1,0,0,0
10.12,8.615,40.615,750,31.26,60/1,0,0,0
2.28,28.789,173.774,795.153,38.98,60/1,0,0,0
11.84,9.991,59.504,760.045,32.45,60/1,0,0,0
3.84,36.385,184.586,803.94,40.05,60/1,0,0,0
15.11,23.867,133.35,783.414,36.8,60/1,0,0,0
5.07,10.898,129.941,788.801,36.33,60/1,0,0,0
11.54,29.315,167.896,803.638,39.14,60/1,0,0,0
11.79,29.043,164.691,799.827,38.86,60/1,0,0,0
2.46,29.007,158.778,792.807,38.31,60/1,0,0,0
1.77,31.615,223.358,797.097,41.1,60/1,0,0,0
4.55,23.936,215.701,829.417,41.78,60/1,0,0,0
37.53,98.282,303.589,851.225,49.1,60/1,0,0,0
41.97,73.047,270.786,853.717,46.94,60/1,0,0,0
1727.16,563.832,829.864,966.327,98.94,60/0,1,0,0
139.94,75.492,393.721,946.125,55.83,60/0,1,0,0
48.23,264.63,736.757,959.396,76.78,60/0,1,0,0
69.73,168.484,678.824,962.179,70.96,60/0,1,0,0
40.83,194.988,750.548,963.366,74.73,60/0,1,0,0
25.18,36.088,551.695,975.528,61.17,60/0,0,1,0
22.45,74.935,653.637,947.265,65.55,60/0,0,1,0
19.92,17.63,655.969,946.026,63.34,60/0,0,1,0
20.17,58.538,650.639,962.26,65.37,60/0,0,1,0
16.91,28.102,701.288,962.636,66.16,60/0,0,1,0
18.21,14.843,727.446,960.968,66.6,60/0,0,1,0
17.59,23.462,711.557,960.074,66.28,60/0,0,1,0
18.43,20.858,719.248,968.9,66.83,60/0,0,1,0
18.31,21.792,729.075,959.405,66.88,60/0,0,1,0
226.36,270.477,654.468,938.12,73.66,60/0,0,0,1
81.72,200.25,675.657,934.105,71.02,60/0,0,0,1
147.29,179.399,578.827,932.09,66.6,60/0,0,0,1
106.95,194.155,591.319,929.861,67.42,60/0,0,0,1
314.52,323.661,804.58,959.413,82.78,60/0,0,0,1
