3489,126529,426507,886637/1,0,0,0,0
1072,9341,44383,757201/1,0,0,0,0
1068,9243,44982,759855/1,0,0,0,0
2744,73114,321834,856998/1,0,0,0,0
1074,9132,41193,750026/1,0,0,0,0
228,28789,173716,795125/1,0,0,0,0
1184,9997,59462,760013/1,0,0,0,0
384,36818,185393,804162/1,0,0,0,0
1511,23868,133286,783409/1,0,0,0,0
507,10915,129957,788801/1,0,0,0,0
1154,29315,167884,803601/1,0,0,0,0
1092,28368,163813,799748/1,0,0,0,0
227,28849,158599,792742/1,0,0,0,0
28452,179510,424106,925702/0,1,0,0,0
9418,59777,362267,951022/0,1,0,0,0
166082,680694,869000,967298/0,1,0,0,0
1594,24140,362941,965055/0,1,0,0,0
27534,139596,502665,955136/0,1,0,0,0
1279,10660,239635,939520/0,0,1,0,0
1202,64637,652815,952630/0,0,1,0,0
1006,62923,652581,944253/0,0,1,0,0
2064,88132,710029,956724/0,0,1,0,0
1731,30503,549387,972104/0,0,1,0,0
1366,16153,452667,861497/0,0,1,0,0
1420,14374,434549,866080/0,0,1,0,0
1834,22272,657095,945922/0,0,1,0,0
1833,24066,748946,967281/0,0,1,0,0
1313,17802,512454,881223/0,0,1,0,0
1409,17321,657780,972054/0,0,1,0,0
36835,314502,746785,959395/0,0,0,1,0
13942,249678,675753,954280/0,0,0,1,0
11046,232619,685070,954838/0,0,0,1,0
33948,320095,757489,962409/0,0,0,1,0
9493,235131,681886,954079/0,0,0,1,0
