226,7391,30806,762376/1,0,0,0,0
1580,32139,236616,825584/1,0,0,0,0
879,23660,177019,826985/1,0,0,0,0
1472,24507,182359,818039/1,0,0,0,0
1435,17889,206299,825192/1,0,0,0,0
599,9658,61744,762943/1,0,0,0,0
5543,95201,366211,865385/1,0,0,0,0
1402,25215,171065,794764/1,0,0,0,0
1400,27294,223982,837263/1,0,0,0,0
163,31507,222745,797068/1,0,0,0,0
432,23472,214660,829384/1,0,0,0,0
3639,97773,302957,851201/1,0,0,0,0
4195,73017,270660,853692/1,0,0,0,0
172055,562693,829148,966327/0,1,0,0,0
13864,74905,393567,946110/0,1,0,0,0
4505,264311,737087,959396/0,1,0,0,0
7016,167392,679397,962169/0,1,0,0,0
3623,192819,750299,963366/0,1,0,0,0
2246,33456,550368,975528/0,0,1,0,0
1945,73084,652664,947224/0,0,1,0,0
1780,15505,654992,945987/0,0,1,0,0
2016,58425,650565,962255/0,0,1,0,0
2561,63252,593069,972550/0,0,1,0,0
1538,27222,700619,962636/0,0,1,0,0
1571,13539,726390,960835/0,0,1,0,0
1539,22457,710521,959876/0,0,1,0,0
1620,19816,718144,968674/0,0,1,0,0
1604,20730,727965,959128/0,0,1,0,0
22700,270668,654594,938120/0,0,0,1,0
8156,200168,675592,934105/0,0,0,1,0
14260,177160,578156,932090/0,0,0,1,0
10290,192887,590822,929825/0,0,0,1,0
30664,320766,804081,959406/0,0,0,1,0
