1479,31599,236246,825584/1,0,0,0
753,22833,176265,826979/1,0,0,0
1472,24423,182267,818042/1,0,0,0
1342,17290,205686,825172/1,0,0,0
3438,126151,426191,886667/1,0,0,0
969,8587,43537,757195/1,0,0,0
1068,9303,45067,759875/1,0,0,0
2744,73115,321892,857021/1,0,0,0
650,6779,39835,750052/1,0,0,0
228,28285,172745,794897/1,0,0,0
1131,9586,58984,760033/1,0,0,0
384,36329,184451,803885/1,0,0,0
1425,23134,132415,783390/1,0,0,0
314,10044,129481,788801/1,0,0,0
1104,28949,167489,803623/1,0,0,0
1092,28329,163738,799772/1,0,0,0
246,29007,158815,792807/1,0,0,0
177,31615,223395,797097/1,0,0,0
455,23938,215735,829417/1,0,0,0
3688,97852,303125,851212/1,0,0,0
4172,72641,270140,853658/1,0,0,0
9418,59777,362267,951022/0,1,0,0
166082,680694,869000,967298/0,1,0,0
1626,24321,363127,965055/0,1,0,0
27534,139596,502721,955144/0,1,0,0
1261,10596,239636,939531/0,0,1,0
1202,64573,652815,952624/0,0,1,0
2563,63359,593117,972550/0,0,1,0
2064,88143,710081,956724/0,0,1,0
1731,30502,549450,972105/0,0,1,0
1302,15605,451959,861478/0,0,1,0
1834,22290,657141,945922/0,0,1,0
1833,24081,748994,967281/0,0,1,0
1267,17333,511903,881210/0,0,1,0
1464,17760,658348,972069/0,0,1,0
66901,385770,728237,943914/0,0,0,1
12959,215431,677861,948278/0,0,0,1
38662,335353,766325,955366/0,0,0,1
17620,185637,574552,930941/0,0,0,1
